"ABX"	"ABX_CLASS"	"variable"	"value"	"SIR"
"724"	"Tetracycline"	"Tetracycline"	"ARS9"	1	"R"
"725"	"Trim/Sulfa"	"Trimethoprim/Sulfonamide"	"ARS9"	-1	"S"
"726"	"Amikacin"	"Aminoglycoside"	"ARS9"	-1	"S"
"727"	"Cefazolin"	"ß-lactam"	"ARS9"	1	"R"
"728"	"Clarithromycin"	"Macrolide"	"ARS9"	1	"R"
"729"	"Erythromycin"	"Macrolide"	"ARS9"	1	"R"
"730"	"Gentamicin"	"Aminoglycoside"	"ARS9"	-1	"S"
"731"	"Oxacillin_2pNaCL"	"ß-lactam"	"ARS9"	1	"R"
"732"	"Penicillin"	"ß-lactam"	"ARS9"	5	"No interpretation"
"733"	"Rifampin"	"Rifampin"	"ARS9"	1	"R"
"734"	"Ticarcillin"	"ß-lactam"	"ARS9"	1	"R"
"735"	"Timentin (Ticarcillin/clauvanic acid)"	"ß-lactam"	"ARS9"	1	"R"
"736"	"Ampicillin"	"ß-lactam"	"ARS10"	1	"R"
"737"	"Azithromycin"	"Macrolide"	"ARS10"	1	"R"
"738"	"Ceftazidime"	"ß-lactam"	"ARS10"	1	"R"
"739"	"Ceftiofur"	"ß-lactam"	"ARS10"	1	"R"
"740"	"Chloramphenicol"	"Phenicol"	"ARS10"	1	"R"
"741"	"Clarithromycin"	"Macrolide"	"ARS10"	5	"No interpretation"
"742"	"Doxycycline"	"Tetracycline"	"ARS10"	1	"R"
"743"	"Enrofloxacin"	"Fluoroquinolone"	"ARS10"	5	"No interpretation"
"744"	"Imipenem"	"ß-lactam"	"ARS10"	-1	"S"
"745"	"Tetracycline"	"Tetracycline"	"ARS10"	1	"R"
"746"	"Trim/Sulfa"	"Trimethoprim/Sulfonamide"	"ARS10"	-1	"S"
"747"	"Amikacin"	"Aminoglycoside"	"ARS10"	-1	"S"
"748"	"Cefazolin"	"ß-lactam"	"ARS10"	1	"R"
"749"	"Clarithromycin"	"Macrolide"	"ARS10"	1	"R"
"750"	"Erythromycin"	"Macrolide"	"ARS10"	1	"R"
"751"	"Gentamicin"	"Aminoglycoside"	"ARS10"	-1	"S"
"752"	"Oxacillin_2pNaCL"	"ß-lactam"	"ARS10"	1	"R"
"753"	"Penicillin"	"ß-lactam"	"ARS10"	5	"No interpretation"
"754"	"Rifampin"	"Rifampin"	"ARS10"	1	"R"
"755"	"Ticarcillin"	"ß-lactam"	"ARS10"	0	"I"
"756"	"Timentin (Ticarcillin/clauvanic acid)"	"ß-lactam"	"ARS10"	0	"I"
"757"	"Ampicillin"	"ß-lactam"	"ARS11"	1	"R"
"758"	"Azithromycin"	"Macrolide"	"ARS11"	1	"R"
"759"	"Ceftazidime"	"ß-lactam"	"ARS11"	1	"R"
"760"	"Ceftiofur"	"ß-lactam"	"ARS11"	1	"R"
"761"	"Chloramphenicol"	"Phenicol"	"ARS11"	1	"R"
"762"	"Clarithromycin"	"Macrolide"	"ARS11"	5	"No interpretation"
"763"	"Doxycycline"	"Tetracycline"	"ARS11"	0	"I"
"764"	"Enrofloxacin"	"Fluoroquinolone"	"ARS11"	5	"No interpretation"
"765"	"Imipenem"	"ß-lactam"	"ARS11"	-1	"S"
"766"	"Tetracycline"	"Tetracycline"	"ARS11"	1	"R"
"767"	"Trim/Sulfa"	"Trimethoprim/Sulfonamide"	"ARS11"	-1	"S"
"768"	"Amikacin"	"Aminoglycoside"	"ARS11"	-1	"S"
"769"	"Cefazolin"	"ß-lactam"	"ARS11"	1	"R"
"770"	"Clarithromycin"	"Macrolide"	"ARS11"	1	"R"
"771"	"Erythromycin"	"Macrolide"	"ARS11"	1	"R"
"772"	"Gentamicin"	"Aminoglycoside"	"ARS11"	-1	"S"
"773"	"Oxacillin_2pNaCL"	"ß-lactam"	"ARS11"	1	"R"
"774"	"Penicillin"	"ß-lactam"	"ARS11"	5	"No interpretation"
"775"	"Rifampin"	"Rifampin"	"ARS11"	1	"R"
"776"	"Ticarcillin"	"ß-lactam"	"ARS11"	0	"I"
"777"	"Timentin (Ticarcillin/clauvanic acid)"	"ß-lactam"	"ARS11"	0	"I"
"778"	"Ampicillin"	"ß-lactam"	"ARS12"	-1	"S"
"779"	"Azithromycin"	"Macrolide"	"ARS12"	1	"R"
"780"	"Ceftazidime"	"ß-lactam"	"ARS12"	-1	"S"
"781"	"Ceftiofur"	"ß-lactam"	"ARS12"	-1	"S"
"782"	"Chloramphenicol"	"Phenicol"	"ARS12"	1	"R"
"783"	"Clarithromycin"	"Macrolide"	"ARS12"	5	"No interpretation"
"784"	"Doxycycline"	"Tetracycline"	"ARS12"	1	"R"
"785"	"Enrofloxacin"	"Fluoroquinolone"	"ARS12"	5	"No interpretation"
"786"	"Imipenem"	"ß-lactam"	"ARS12"	-1	"S"
"787"	"Tetracycline"	"Tetracycline"	"ARS12"	1	"R"
"788"	"Trim/Sulfa"	"Trimethoprim/Sulfonamide"	"ARS12"	-1	"S"
"789"	"Amikacin"	"Aminoglycoside"	"ARS12"	-1	"S"
"790"	"Cefazolin"	"ß-lactam"	"ARS12"	-1	"S"
"791"	"Clarithromycin"	"Macrolide"	"ARS12"	1	"R"
"792"	"Erythromycin"	"Macrolide"	"ARS12"	1	"R"
"793"	"Gentamicin"	"Aminoglycoside"	"ARS12"	-1	"S"
"794"	"Oxacillin_2pNaCL"	"ß-lactam"	"ARS12"	1	"R"
"795"	"Penicillin"	"ß-lactam"	"ARS12"	5	"No interpretation"
"796"	"Rifampin"	"Rifampin"	"ARS12"	1	"R"
"797"	"Ticarcillin"	"ß-lactam"	"ARS12"	-1	"S"
"798"	"Timentin (Ticarcillin/clauvanic acid)"	"ß-lactam"	"ARS12"	-1	"S"
"799"	"Ampicillin"	"ß-lactam"	"ARS13"	-1	"S"
"800"	"Azithromycin"	"Macrolide"	"ARS13"	-1	"S"
"801"	"Ceftazidime"	"ß-lactam"	"ARS13"	-1	"S"
"802"	"Ceftiofur"	"ß-lactam"	"ARS13"	-1	"S"
"803"	"Chloramphenicol"	"Phenicol"	"ARS13"	0	"I"
"804"	"Clarithromycin"	"Macrolide"	"ARS13"	5	"No interpretation"
"805"	"Doxycycline"	"Tetracycline"	"ARS13"	-1	"S"
"806"	"Enrofloxacin"	"Fluoroquinolone"	"ARS13"	5	"No interpretation"
"807"	"Imipenem"	"ß-lactam"	"ARS13"	-1	"S"
"808"	"Tetracycline"	"Tetracycline"	"ARS13"	-1	"S"
"809"	"Trim/Sulfa"	"Trimethoprim/Sulfonamide"	"ARS13"	-1	"S"
"810"	"Amikacin"	"Aminoglycoside"	"ARS13"	-1	"S"
"811"	"Cefazolin"	"ß-lactam"	"ARS13"	-1	"S"
"812"	"Clarithromycin"	"Macrolide"	"ARS13"	1	"R"
"813"	"Erythromycin"	"Macrolide"	"ARS13"	1	"R"
"814"	"Gentamicin"	"Aminoglycoside"	"ARS13"	1	"R"
"815"	"Oxacillin_2pNaCL"	"ß-lactam"	"ARS13"	1	"R"
"816"	"Penicillin"	"ß-lactam"	"ARS13"	5	"No interpretation"
"817"	"Rifampin"	"Rifampin"	"ARS13"	1	"R"
"818"	"Ticarcillin"	"ß-lactam"	"ARS13"	-1	"S"
"819"	"Timentin (Ticarcillin/clauvanic acid)"	"ß-lactam"	"ARS13"	-1	"S"
"820"	"Ampicillin"	"ß-lactam"	"ARS14"	-1	"S"
"821"	"Azithromycin"	"Macrolide"	"ARS14"	-1	"S"
"822"	"Ceftazidime"	"ß-lactam"	"ARS14"	-1	"S"
"823"	"Ceftiofur"	"ß-lactam"	"ARS14"	-1	"S"
"824"	"Chloramphenicol"	"Phenicol"	"ARS14"	1	"R"
"825"	"Clarithromycin"	"Macrolide"	"ARS14"	5	"No interpretation"
"826"	"Doxycycline"	"Tetracycline"	"ARS14"	-1	"S"
"827"	"Enrofloxacin"	"Fluoroquinolone"	"ARS14"	5	"No interpretation"
"828"	"Imipenem"	"ß-lactam"	"ARS14"	-1	"S"
"829"	"Tetracycline"	"Tetracycline"	"ARS14"	-1	"S"
"830"	"Trim/Sulfa"	"Trimethoprim/Sulfonamide"	"ARS14"	-1	"S"
"831"	"Amikacin"	"Aminoglycoside"	"ARS14"	-1	"S"
"832"	"Cefazolin"	"ß-lactam"	"ARS14"	-1	"S"
"833"	"Clarithromycin"	"Macrolide"	"ARS14"	1	"R"
"834"	"Erythromycin"	"Macrolide"	"ARS14"	1	"R"
"835"	"Gentamicin"	"Aminoglycoside"	"ARS14"	1	"R"
"836"	"Oxacillin_2pNaCL"	"ß-lactam"	"ARS14"	1	"R"
"837"	"Penicillin"	"ß-lactam"	"ARS14"	5	"No interpretation"
"838"	"Rifampin"	"Rifampin"	"ARS14"	1	"R"
"839"	"Ticarcillin"	"ß-lactam"	"ARS14"	-1	"S"
"840"	"Timentin (Ticarcillin/clauvanic acid)"	"ß-lactam"	"ARS14"	-1	"S"
"841"	"Ampicillin"	"ß-lactam"	"ARS15"	1	"R"
"842"	"Azithromycin"	"Macrolide"	"ARS15"	1	"R"
"843"	"Ceftazidime"	"ß-lactam"	"ARS15"	-1	"S"
"844"	"Ceftiofur"	"ß-lactam"	"ARS15"	-1	"S"
"845"	"Chloramphenicol"	"Phenicol"	"ARS15"	-1	"S"
"846"	"Clarithromycin"	"Macrolide"	"ARS15"	5	"No interpretation"
"847"	"Doxycycline"	"Tetracycline"	"ARS15"	1	"R"
"848"	"Enrofloxacin"	"Fluoroquinolone"	"ARS15"	5	"No interpretation"
"849"	"Imipenem"	"ß-lactam"	"ARS15"	-1	"S"
"850"	"Tetracycline"	"Tetracycline"	"ARS15"	1	"R"
"851"	"Trim/Sulfa"	"Trimethoprim/Sulfonamide"	"ARS15"	-1	"S"
"852"	"Amikacin"	"Aminoglycoside"	"ARS15"	-1	"S"
"853"	"Cefazolin"	"ß-lactam"	"ARS15"	1	"R"
"854"	"Clarithromycin"	"Macrolide"	"ARS15"	1	"R"
"855"	"Erythromycin"	"Macrolide"	"ARS15"	1	"R"
"856"	"Gentamicin"	"Aminoglycoside"	"ARS15"	-1	"S"
"857"	"Oxacillin_2pNaCL"	"ß-lactam"	"ARS15"	1	"R"
"858"	"Penicillin"	"ß-lactam"	"ARS15"	5	"No interpretation"
"859"	"Rifampin"	"Rifampin"	"ARS15"	1	"R"
"860"	"Ticarcillin"	"ß-lactam"	"ARS15"	1	"R"
"861"	"Timentin (Ticarcillin/clauvanic acid)"	"ß-lactam"	"ARS15"	0	"I"
"862"	"Ampicillin"	"ß-lactam"	"ARS16"	-1	"S"
"863"	"Azithromycin"	"Macrolide"	"ARS16"	-1	"S"
"864"	"Ceftazidime"	"ß-lactam"	"ARS16"	-1	"S"
"865"	"Ceftiofur"	"ß-lactam"	"ARS16"	-1	"S"
"866"	"Chloramphenicol"	"Phenicol"	"ARS16"	-1	"S"
"867"	"Clarithromycin"	"Macrolide"	"ARS16"	5	"No interpretation"
"868"	"Doxycycline"	"Tetracycline"	"ARS16"	-1	"S"
"869"	"Enrofloxacin"	"Fluoroquinolone"	"ARS16"	5	"No interpretation"
"870"	"Imipenem"	"ß-lactam"	"ARS16"	-1	"S"
"871"	"Tetracycline"	"Tetracycline"	"ARS16"	-1	"S"
"872"	"Trim/Sulfa"	"Trimethoprim/Sulfonamide"	"ARS16"	-1	"S"
"873"	"Amikacin"	"Aminoglycoside"	"ARS16"	-1	"S"
"874"	"Cefazolin"	"ß-lactam"	"ARS16"	-1	"S"
"875"	"Clarithromycin"	"Macrolide"	"ARS16"	1	"R"
"876"	"Erythromycin"	"Macrolide"	"ARS16"	1	"R"
"877"	"Gentamicin"	"Aminoglycoside"	"ARS16"	-1	"S"
"878"	"Oxacillin_2pNaCL"	"ß-lactam"	"ARS16"	1	"R"
"879"	"Penicillin"	"ß-lactam"	"ARS16"	5	"No interpretation"
"880"	"Rifampin"	"Rifampin"	"ARS16"	1	"R"
"881"	"Ticarcillin"	"ß-lactam"	"ARS16"	-1	"S"
"882"	"Timentin (Ticarcillin/clauvanic acid)"	"ß-lactam"	"ARS16"	-1	"S"
"883"	"Ampicillin"	"ß-lactam"	"ARS17"	-1	"S"
"884"	"Azithromycin"	"Macrolide"	"ARS17"	1	"R"
"885"	"Ceftazidime"	"ß-lactam"	"ARS17"	-1	"S"
"886"	"Ceftiofur"	"ß-lactam"	"ARS17"	-1	"S"
"887"	"Chloramphenicol"	"Phenicol"	"ARS17"	-1	"S"
"888"	"Clarithromycin"	"Macrolide"	"ARS17"	5	"No interpretation"
"889"	"Doxycycline"	"Tetracycline"	"ARS17"	-1	"S"
"890"	"Enrofloxacin"	"Fluoroquinolone"	"ARS17"	5	"No interpretation"
"891"	"Imipenem"	"ß-lactam"	"ARS17"	-1	"S"
"892"	"Tetracycline"	"Tetracycline"	"ARS17"	-1	"S"
"893"	"Trim/Sulfa"	"Trimethoprim/Sulfonamide"	"ARS17"	-1	"S"
"894"	"Amikacin"	"Aminoglycoside"	"ARS17"	-1	"S"
"895"	"Cefazolin"	"ß-lactam"	"ARS17"	-1	"S"
"896"	"Clarithromycin"	"Macrolide"	"ARS17"	1	"R"
"897"	"Erythromycin"	"Macrolide"	"ARS17"	1	"R"
"898"	"Gentamicin"	"Aminoglycoside"	"ARS17"	-1	"S"
"899"	"Oxacillin_2pNaCL"	"ß-lactam"	"ARS17"	1	"R"
"900"	"Penicillin"	"ß-lactam"	"ARS17"	5	"No interpretation"
"901"	"Rifampin"	"Rifampin"	"ARS17"	1	"R"
"902"	"Ticarcillin"	"ß-lactam"	"ARS17"	-1	"S"
"903"	"Timentin (Ticarcillin/clauvanic acid)"	"ß-lactam"	"ARS17"	-1	"S"
"904"	"Ampicillin"	"ß-lactam"	"ARS18"	1	"R"
"905"	"Azithromycin"	"Macrolide"	"ARS18"	-1	"S"
"906"	"Ceftazidime"	"ß-lactam"	"ARS18"	-1	"S"
"907"	"Ceftiofur"	"ß-lactam"	"ARS18"	-1	"S"
"908"	"Chloramphenicol"	"Phenicol"	"ARS18"	1	"R"
"909"	"Clarithromycin"	"Macrolide"	"ARS18"	5	"No interpretation"
"910"	"Doxycycline"	"Tetracycline"	"ARS18"	1	"R"
"911"	"Enrofloxacin"	"Fluoroquinolone"	"ARS18"	5	"No interpretation"
"912"	"Imipenem"	"ß-lactam"	"ARS18"	-1	"S"
"913"	"Tetracycline"	"Tetracycline"	"ARS18"	1	"R"
"914"	"Trim/Sulfa"	"Trimethoprim/Sulfonamide"	"ARS18"	-1	"S"
"915"	"Amikacin"	"Aminoglycoside"	"ARS18"	-1	"S"
"916"	"Cefazolin"	"ß-lactam"	"ARS18"	-1	"S"
"917"	"Clarithromycin"	"Macrolide"	"ARS18"	1	"R"
"918"	"Erythromycin"	"Macrolide"	"ARS18"	1	"R"
"919"	"Gentamicin"	"Aminoglycoside"	"ARS18"	-1	"S"
"920"	"Oxacillin_2pNaCL"	"ß-lactam"	"ARS18"	1	"R"
"921"	"Penicillin"	"ß-lactam"	"ARS18"	5	"No interpretation"
"922"	"Rifampin"	"Rifampin"	"ARS18"	1	"R"
"923"	"Ticarcillin"	"ß-lactam"	"ARS18"	1	"R"
"924"	"Timentin (Ticarcillin/clauvanic acid)"	"ß-lactam"	"ARS18"	-1	"S"
